,community_num,num_users,user_num_games,num_users_zscore,user_num_games_zscore,avg_num_games_played
0,0,2,1,-0.17055806377146396,-0.09234532843631302,0.5
1,1,1,1,-0.1711403357518036,-0.09234532843631302,1.0
2,2,1,1,-0.1711403357518036,-0.09234532843631302,1.0
3,3,1,1,-0.1711403357518036,-0.09234532843631302,1.0
4,4,1,1,-0.1711403357518036,-0.09234532843631302,1.0
5,5,4,1,-0.16939351981078468,-0.09234532843631302,0.25
6,6,1,1,-0.1711403357518036,-0.09234532843631302,1.0
7,7,852,30,0.3243731195172252,0.008159771726432855,0.035211267605633804
8,8,2,1,-0.17055806377146396,-0.09234532843631302,0.5
9,9,1,1,-0.1711403357518036,-0.09234532843631302,1.0
10,10,1,1,-0.1711403357518036,-0.09234532843631302,1.0
11,11,1,1,-0.1711403357518036,-0.09234532843631302,1.0
12,12,3,1,-0.16997579179112432,-0.09234532843631302,0.3333333333333333
13,13,9,1,-0.16648215990908652,-0.09234532843631302,0.1111111111111111
14,14,2,1,-0.17055806377146396,-0.09234532843631302,0.5
15,15,3461,14,1.843520716223331,-0.047291318018530384,0.004045073678127709
16,16,1,1,-0.1711403357518036,-0.09234532843631302,1.0
17,17,1,1,-0.1711403357518036,-0.09234532843631302,1.0
18,18,4,1,-0.16939351981078468,-0.09234532843631302,0.25
19,19,1,1,-0.1711403357518036,-0.09234532843631302,1.0
20,20,1,1,-0.1711403357518036,-0.09234532843631302,1.0
21,21,1,1,-0.1711403357518036,-0.09234532843631302,1.0
22,22,1,1,-0.1711403357518036,-0.09234532843631302,1.0
23,23,1,1,-0.1711403357518036,-0.09234532843631302,1.0
24,24,21887,4704,12.572464225961433,16.206809363473816,0.2149220998766391
25,25,1,1,-0.1711403357518036,-0.09234532843631302,1.0
26,26,2,1,-0.17055806377146396,-0.09234532843631302,0.5
27,27,3,1,-0.16997579179112432,-0.09234532843631302,0.3333333333333333
28,28,1,1,-0.1711403357518036,-0.09234532843631302,1.0
29,29,1,1,-0.1711403357518036,-0.09234532843631302,1.0
30,30,3,2,-0.16997579179112432,-0.0888796353272528,0.6666666666666666
31,31,1,1,-0.1711403357518036,-0.09234532843631302,1.0
32,32,1,1,-0.1711403357518036,-0.09234532843631302,1.0
33,33,2,1,-0.17055806377146396,-0.09234532843631302,0.5
34,34,1,1,-0.1711403357518036,-0.09234532843631302,1.0
35,35,1,1,-0.1711403357518036,-0.09234532843631302,1.0
36,36,1,1,-0.1711403357518036,-0.09234532843631302,1.0
37,37,1,1,-0.1711403357518036,-0.09234532843631302,1.0
38,38,1,1,-0.1711403357518036,-0.09234532843631302,1.0
39,39,2,1,-0.17055806377146396,-0.09234532843631302,0.5
40,40,2,1,-0.17055806377146396,-0.09234532843631302,0.5
41,41,1,1,-0.1711403357518036,-0.09234532843631302,1.0
42,42,1,1,-0.1711403357518036,-0.09234532843631302,1.0
43,43,10,1,-0.16589988792874688,-0.09234532843631302,0.1
44,44,1,1,-0.1711403357518036,-0.09234532843631302,1.0
45,45,1,1,-0.1711403357518036,-0.09234532843631302,1.0
46,46,1,1,-0.1711403357518036,-0.09234532843631302,1.0
47,47,7,3,-0.1676467038697658,-0.08541394221819261,0.42857142857142855
48,48,1,1,-0.1711403357518036,-0.09234532843631302,1.0
49,49,1,1,-0.1711403357518036,-0.09234532843631302,1.0
50,50,2,1,-0.17055806377146396,-0.09234532843631302,0.5
51,51,1,1,-0.1711403357518036,-0.09234532843631302,1.0
52,52,3,1,-0.16997579179112432,-0.09234532843631302,0.3333333333333333
53,53,1,1,-0.1711403357518036,-0.09234532843631302,1.0
54,54,1,1,-0.1711403357518036,-0.09234532843631302,1.0
55,55,7,2,-0.1676467038697658,-0.0888796353272528,0.2857142857142857
56,56,1,1,-0.1711403357518036,-0.09234532843631302,1.0
57,57,1,1,-0.1711403357518036,-0.09234532843631302,1.0
58,58,2,1,-0.17055806377146396,-0.09234532843631302,0.5
59,59,1,1,-0.1711403357518036,-0.09234532843631302,1.0
60,60,1,1,-0.1711403357518036,-0.09234532843631302,1.0
61,61,1,1,-0.1711403357518036,-0.09234532843631302,1.0
62,62,1697,77,0.8163929429042162,0.17104734785226236,0.04537418974661167
63,63,3,1,-0.16997579179112432,-0.09234532843631302,0.3333333333333333
64,64,1,1,-0.1711403357518036,-0.09234532843631302,1.0
65,65,1,1,-0.1711403357518036,-0.09234532843631302,1.0
66,66,1,1,-0.1711403357518036,-0.09234532843631302,1.0
67,67,8,1,-0.16706443188942616,-0.09234532843631302,0.125
68,68,1,1,-0.1711403357518036,-0.09234532843631302,1.0
69,69,1,1,-0.1711403357518036,-0.09234532843631302,1.0
70,70,1,1,-0.1711403357518036,-0.09234532843631302,1.0
71,71,1,1,-0.1711403357518036,-0.09234532843631302,1.0
72,72,1,1,-0.1711403357518036,-0.09234532843631302,1.0
73,73,2,1,-0.17055806377146396,-0.09234532843631302,0.5
74,74,1,1,-0.1711403357518036,-0.09234532843631302,1.0
75,75,1,1,-0.1711403357518036,-0.09234532843631302,1.0
76,76,1,1,-0.1711403357518036,-0.09234532843631302,1.0
77,77,1,1,-0.1711403357518036,-0.09234532843631302,1.0
78,78,6,1,-0.1682289758501054,-0.09234532843631302,0.16666666666666666
79,79,2,1,-0.17055806377146396,-0.09234532843631302,0.5
80,80,1,1,-0.1711403357518036,-0.09234532843631302,1.0
81,81,1,1,-0.1711403357518036,-0.09234532843631302,1.0
82,82,1,1,-0.1711403357518036,-0.09234532843631302,1.0
83,83,4868,561,2.6627773925611966,1.8484428126374002,0.11524239934264585
84,84,2,1,-0.17055806377146396,-0.09234532843631302,0.5
85,85,1,1,-0.1711403357518036,-0.09234532843631302,1.0
86,86,1,1,-0.1711403357518036,-0.09234532843631302,1.0
87,87,1,1,-0.1711403357518036,-0.09234532843631302,1.0
88,88,2,1,-0.17055806377146396,-0.09234532843631302,0.5
89,89,1,1,-0.1711403357518036,-0.09234532843631302,1.0
90,90,1,1,-0.1711403357518036,-0.09234532843631302,1.0
91,91,1,1,-0.1711403357518036,-0.09234532843631302,1.0
92,92,1,1,-0.1711403357518036,-0.09234532843631302,1.0
93,93,1,1,-0.1711403357518036,-0.09234532843631302,1.0
94,94,1,1,-0.1711403357518036,-0.09234532843631302,1.0
95,95,2,1,-0.17055806377146396,-0.09234532843631302,0.5
96,96,1,1,-0.1711403357518036,-0.09234532843631302,1.0
97,97,2,1,-0.17055806377146396,-0.09234532843631302,0.5
